,accepted_species,accepted_species_w_author,native_tdwg3_codes,intro_tdwg3_codes
1617,Bertiera congolana,Bertiera congolana De Wild. & T.Durand,"('CMN', 'CON', 'ZAI')",
1618,Bertiera crinita,Bertiera crinita (A.Rich.) Wittle & A.P.Davis,"('MDG',)",
1619,Bertiera elabensis,Bertiera elabensis K.Krause,"('CMN', 'EQG', 'GAB', 'NGA')",
1620,Bertiera fimbriata,Bertiera fimbriata Hepper,"('GUI', 'IVO', 'LBR')",
1621,Bertiera globiceps,Bertiera globiceps K.Schum.,"('CAB', 'CMN', 'CON', 'GAB', 'UGA')",
1622,Bertiera gonzaleoides,Bertiera gonzaleoides Griseb.,"('CUB',)",
1623,Bertiera guianensis,Bertiera guianensis Aubl.,"('BLZ', 'BOL', 'BZC', 'BZN', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'FRG', 'GUA', 'GUY', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'SUR', 'TRT', 'VEN')",
1624,Bertiera heterophylla,Bertiera heterophylla Nguembou & Sonké,"('CMN', 'GAB')",
1625,Bertiera iturensis,Bertiera iturensis K.Krause,"('CAB', 'CAF', 'CMN', 'CON', 'GAB', 'ZAI')",
1626,Bertiera lanx,Bertiera lanx N.Hallé,"('GAB',)",
1627,Bertiera laurentii,Bertiera laurentii De Wild.,"('ANG', 'CON', 'ZAI')",
1628,Bertiera laxa,Bertiera laxa Benth.,"('CMN', 'CON', 'EQG', 'GAB', 'GGI', 'NGA', 'ZAI')",
1629,Bertiera laxissima,Bertiera laxissima K.Schum.,"('CMN',)",
1630,Bertiera ledermannii,Bertiera ledermannii K.Krause,"('CMN',)",
1631,Bertiera lejolyana,Bertiera lejolyana Nguembou & Sonké,"('CMN',)",
1632,Bertiera letouzeyi,Bertiera letouzeyi N.Hallé,"('CAF', 'CMN', 'CON', 'GAB', 'ZAI')",
1633,Bertiera longiloba,Bertiera longiloba K.Krause,"('CMN',)",
1634,Bertiera longithyrsa,Bertiera longithyrsa Baker,"('MDG',)",
1635,Bertiera loraria,Bertiera loraria N.Hallé,"('CAF', 'CMN', 'CON', 'GAB', 'ZAI')",
1636,Bertiera lujae,Bertiera lujae De Wild.,"('ANG', 'CON', 'GAB', 'ZAI')",
1637,Bertiera naucleoides,Bertiera naucleoides (S.Moore) Bridson,"('CAF', 'CMN', 'CON', 'GAB', 'TAN', 'UGA', 'ZAI')",
1638,Bertiera orthopetala,Bertiera orthopetala (Hiern) N.Hallé,"('ANG', 'CAB', 'CMN', 'CON', 'GAB', 'ZAI')",
1639,Bertiera parviflora,Bertiera parviflora Spruce ex K.Schum.,"('BZN', 'CLM', 'PAN', 'PER', 'VEN')",
1640,Bertiera pauloi,Bertiera pauloi Verdc.,"('TAN',)",
1641,Bertiera pedicellata,Bertiera pedicellata (Hiern) Wernham,"('GGI',)",
1642,Bertiera procumbens,Bertiera procumbens K.Schum. & K.Krause,"('CLM', 'ECU')",
1643,Bertiera racemosa,Bertiera racemosa (G.Don) K.Schum.,"('ANG', 'BEN', 'CAB', 'CAF', 'CMN', 'CON', 'GAB', 'GGI', 'GHA', 'GUI', 'IVO', 'LBR', 'NGA', 'RWA', 'SIE', 'TAN', 'TOG', 'UGA', 'ZAI')",
1644,Bertiera retrofracta,Bertiera retrofracta K.Schum.,"('CAF', 'CMN', 'EQG', 'GGI', 'NGA')",
1645,Bertiera rosseeliana,"Bertiera rosseeliana Sonké, Esono & Nguembou","('CMN', 'EQG')",
1646,Bertiera rufa,Bertiera rufa A.Rich. ex DC.,"('REU',)",
1647,Bertiera rugosa,Bertiera rugosa L.Andersson & C.H.Perss.,"('ECU',)",
1648,Bertiera sinoensis,Bertiera sinoensis Jongkind,"('LBR',)",
1649,Bertiera sphaerica,Bertiera sphaerica N.Hallé,"('GAB',)",
1650,Bertiera spicata,Bertiera spicata (C.F.Gaertn.) K.Schum.,"('CAF', 'GHA', 'GNB', 'GUI', 'IVO', 'LBR', 'NGA', 'SEN', 'SIE')",
1651,Bertiera subsessilis,Bertiera subsessilis Hiern,"('CMN', 'GAB', 'NGA', 'ZAI')",
1652,Bertiera tessmannii,Bertiera tessmannii K.Krause,"('GUI',)",
1653,Bertiera thollonii,Bertiera thollonii N.Hallé,"('CON',)",
1654,Bertiera thonneri,Bertiera thonneri De Wild. & T.Durand,"('ZAI',)",
1655,Bertiera troupinii,Bertiera troupinii N.Hallé,"('ZAI',)",
1656,Bertiera viburnoides,Bertiera viburnoides (Standl.) J.H.Kirkbr.,"('CLM', 'PAN')",
1657,Bertiera zaluzania,Bertiera zaluzania Comm. ex C.F.Gaertn.,"('MAU',)",
1658,Bikkia bridgeana,Bikkia bridgeana F.Muell.,"('NWG',)",
1659,Bikkia commerconiana,Bikkia commerconiana K.Schum.,"('NWG',)",
1660,Bikkia gaudichaudiana,Bikkia gaudichaudiana Brongn.,"('NWG',)",
1661,Bikkia guilloviana,Bikkia guilloviana Brongn.,"('NWG',)",
1662,Bikkia longicarpa,Bikkia longicarpa Valeton,"('MRN',)",
1663,Bikkia moluccana,Bikkia moluccana Suess. ex Troll & Dragend.,"('MOL',)",
1664,Bikkia montoyae,"Bikkia montoyae Mejillano, Santor & Alejandro","('PHI',)",
1665,Bikkia palauensis,Bikkia palauensis Valeton,"('CRL',)",
1666,Bikkia pancheri,Bikkia pancheri (Brongn.) Guillaumin,"('BIS', 'NWC', 'SOL', 'VAN')",
1667,Bikkia philippinensis,Bikkia philippinensis Valeton,"('PHI',)",
1668,Bikkia tetrandra,Bikkia tetrandra (L.f.) A.Rich.,"('CRL', 'FIJ', 'MRN', 'NUE', 'NWC', 'NWG', 'SOL', 'TON', 'VAN', 'WAL')",
1669,Bisgoeppertia gracilis,Bisgoeppertia gracilis (C.Wright ex Griseb.) Kuntze,"('CUB',)",
1670,Bisgoeppertia robustior,Bisgoeppertia robustior Greuter & R.Rankin,"('CUB',)",
1671,Bisgoeppertia scandens,Bisgoeppertia scandens (Spreng.) Urb.,"('DOM', 'HAI')",
1672,Blackstonia acuminata,Blackstonia acuminata (W.D.J.Koch & Ziz) Domin,"('ALB', 'BAL', 'BUL', 'COR', 'CYP', 'EAI', 'FRA', 'GRC', 'IRQ', 'ITA', 'KRI', 'LBS', 'MOR', 'POR', 'ROM', 'SAR', 'SIC', 'SPA', 'TUE', 'TUR', 'UKR', 'YUG')",
1673,Blackstonia grandiflora,Blackstonia grandiflora (Viv.) Maire,"('ALG', 'BAL', 'MOR', 'SAR', 'SIC', 'SPA', 'TUN')",
1674,Blackstonia imperfoliata,Blackstonia imperfoliata (L.f.) Samp.,"('COR', 'FRA', 'ITA', 'MOR', 'POR', 'SAR', 'SIC', 'SPA', 'TUN')","('CNY',)"
1675,Blackstonia perfoliata,Blackstonia perfoliata (L.) Huds.,"('ALB', 'ALG', 'AUT', 'BAL', 'BGM', 'BUL', 'COR', 'CYP', 'CZE', 'EAI', 'FRA', 'GER', 'GRB', 'GRC', 'HUN', 'IRE', 'IRQ', 'ITA', 'KRI', 'KRY', 'LBS', 'MOR', 'NET', 'PAL', 'POR', 'SAR', 'SIC', 'SIN', 'SPA', 'SWI', 'TUE', 'TUN', 'TUR', 'YUG')","('AGE', 'AGW', 'AZO', 'NZN', 'URU')"
1676,Blepharidium guatemalense,Blepharidium guatemalense Standl.,"('GUA', 'HON', 'MXT')",
1677,Blepharodon amazonicum,Blepharodon amazonicum (Benth.) Fontella & Marquete,"('BOL', 'BZC', 'BZN', 'CLM', 'ECU')",
1678,Blepharodon ampliflorum,Blepharodon ampliflorum E.Fourn.,"('BZE', 'BZL', 'BZS')",
1679,Blepharodon angustifolium,Blepharodon angustifolium Malme,"('BZC', 'BZN', 'PAR')",
1680,Blepharodon bicolor,Blepharodon bicolor Decne.,"('BZC', 'BZE')",
1681,Blepharodon bicuspidatum,Blepharodon bicuspidatum E.Fourn.,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS')",
1682,Blepharodon colombianum,Blepharodon colombianum Morillo,"('CLM',)",
1683,Blepharodon costae,Blepharodon costae Fontella & Morillo,"('BZE',)",
1684,Blepharodon crabronum,Blepharodon crabronum Goyder,"('BOL',)",
1685,Blepharodon cuatrecasasii,Blepharodon cuatrecasasii Morillo,"('CLM',)",
1686,Blepharodon glaucescens,Blepharodon glaucescens (Decne.) Fontella,"('BZN', 'CLM', 'GUY', 'VEN')",
1687,Blepharodon grandiflorum,Blepharodon grandiflorum Benth.,"('BZN', 'CLM', 'GUY', 'VEN')",
1688,Blepharodon hatschbachii,Blepharodon hatschbachii Fontella & Marquete,"('BZC',)",
1689,Blepharodon juliani,Blepharodon juliani Morillo,"('VEN',)",
1690,Blepharodon lineare,Blepharodon lineare (Decne.) Decne.,"('AGE', 'BOL', 'BZC', 'BZE', 'BZL', 'BZS', 'PAR')",
1691,Blepharodon maigualidae,Blepharodon maigualidae Morillo,"('VEN',)",
1692,Blepharodon manicatum,Blepharodon manicatum (Decne.) Fontella,"('BZE',)",
1693,Blepharodon mucronatum,Blepharodon mucronatum (Schltdl.) Decne.,"('BLZ', 'CLM', 'COS', 'ECU', 'ELS', 'GUA', 'HON', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN', 'VEN')",
1694,Blepharodon perijaense,Blepharodon perijaense Morillo,"('CLM',)",
1695,Blepharodon philibertioides,Blepharodon philibertioides Schltr.,"('BOL',)",
1696,Blepharodon pictum,Blepharodon pictum (Vahl) W.D.Stevens,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'FRG', 'GUY', 'PAR', 'PER', 'SUR', 'VEN')",
1697,Blepharodon polydori,Blepharodon polydori Morillo,"('CLM',)",
1698,Blepharodon reflexum,Blepharodon reflexum Malme,"('BZC', 'BZL', 'PAR')",
1699,Blepharodon salicinum,Blepharodon salicinum Decne.,"('BOL', 'BZN', 'CLM', 'PER')",
1700,Blepharodon suberectum,Blepharodon suberectum Schltr.,"('CLM',)",
1701,Blepharodon tillettii,Blepharodon tillettii Morillo,"('GUY',)",
1702,Blepharodon ulei,Blepharodon ulei Schltr.,"('GUY', 'VEN')",
1703,Bobea brevipes,Bobea brevipes A.Gray,"('HAW',)",
1704,Bobea elatior,Bobea elatior Gaudich.,"('HAW',)",
1705,Bobea myrtoides,Bobea myrtoides (F.Muell.) Valeton,"('QLD',)",
1706,Bobea sandwicensis,Bobea sandwicensis (A.Gray) Hillebr.,"('HAW',)",
1707,Bobea timonioides,Bobea timonioides (Hook.f.) Hillebr.,"('HAW',)",
1708,Boholia nematostylis,Boholia nematostylis Merr.,"('LSI', 'PHI', 'SUM')",
1709,Bonyunia antoniifolia,Bonyunia antoniifolia Progel,"('BOL', 'BZC', 'BZN')",
1710,Bonyunia aquatica,Bonyunia aquatica Ducke,"('BZN', 'CLM', 'VEN')",
1711,Bonyunia excelsa,Bonyunia excelsa J.R.Grant,"('CLM',)",
1712,Bonyunia magnifica,Bonyunia magnifica J.R.Grant,"('BZN',)",
1713,Bonyunia minor,Bonyunia minor N.E.Br.,"('BZN', 'GUY', 'VEN')",
1714,Bonyunia nobilis,Bonyunia nobilis J.R.Grant,"('CLM',)",
1715,Bonyunia pulchra,"Bonyunia pulchra Ricketson, J.R.Grant & Liesner","('PER',)",
1716,Bonyunia spectabilis,Bonyunia spectabilis J.R.Grant,"('GUY',)",
1717,Bonyunia superba,Bonyunia superba R.H.Schomb. ex Progel,"('GUY', 'VEN')",
1718,Bonyunia venusta,Bonyunia venusta J.R.Grant,"('BZN',)",
1719,Bothriospora corymbosa,Bothriospora corymbosa (Benth.) Hook.f.,"('BZN', 'CLM', 'ECU', 'GUY', 'PER', 'VEN')",
1720,Botryarrhena pendula,Botryarrhena pendula Ducke,"('BZN', 'CLM', 'FRG', 'VEN')",
1721,Botryarrhena venezuelensis,Botryarrhena venezuelensis Steyerm.,"('PER', 'VEN')",
1722,Boucerosia crenulata,Boucerosia crenulata (Wall.) Wight & Arn.,"('IND', 'MYA')",
1723,Boucerosia diffusa,Boucerosia diffusa Wight,"('IND',)",
1724,Boucerosia frerei,Boucerosia frerei (G.D.Rowley) Meve & Liede,"('IND',)",
1725,Boucerosia indica,Boucerosia indica (Wight & Arn.) Plowes,"('IND', 'SRL')",
1726,Boucerosia pauciflora,Boucerosia pauciflora Wight,"('IND',)",
1727,Boucerosia penduliflora,Boucerosia penduliflora Frandsen & Aditya,"('IND',)",
1728,Boucerosia procumbens,Boucerosia procumbens (Gravely & Mayur.) Plowes,"('IND',)",
1729,Boucerosia umbellata,Boucerosia umbellata (Haw.) Wight & Arn.,"('BAN', 'IND', 'MYA', 'SRL')",
1730,Bousigonia angustifolia,Bousigonia angustifolia Pierre ex Spire,"('CHC', 'LAO', 'THA', 'VIE')",
1731,Bousigonia mekongensis,Bousigonia mekongensis Pierre,"('CHC', 'LAO', 'VIE')",
1732,Bousigonia tonkinensis,Bousigonia tonkinensis Eberh.,"('VIE',)",
1733,Bouvardia amplexicaulis,Bouvardia amplexicaulis Borhidi & E.Martínez,"('MXC',)",
1734,Bouvardia borhidiana,Bouvardia borhidiana Lozada-Pérez,"('MXS',)",
1735,Bouvardia bouvardioides,Bouvardia bouvardioides (Seem.) Standl.,"('MXE', 'MXN', 'MXS')",
1736,Bouvardia candida,Bouvardia candida Borhidi,"('MXS',)",
1737,Bouvardia capitata,Bouvardia capitata Bullock,"('MXC', 'MXS')",
1738,Bouvardia castilloi,Bouvardia castilloi Borhidi & García Gonz.,"('MXG', 'MXS')",
1739,Bouvardia chrysantha,Bouvardia chrysantha Mart.,"('MXC', 'MXS')",
1740,Bouvardia conzattii,Bouvardia conzattii Greenm.,"('MXS',)",
1741,Bouvardia cordifolia,Bouvardia cordifolia DC.,"('MXC', 'MXS')",
1742,Bouvardia costaricensis,Bouvardia costaricensis C.M.Taylor,"('COS',)",
1743,Bouvardia dictyoneura,Bouvardia dictyoneura Standl.,"('GUA', 'MXS', 'MXT')",
1744,Bouvardia erecta,Bouvardia erecta (DC.) Standl.,"('MXC', 'MXG', 'MXS')",
1745,Bouvardia ferruginea,Bouvardia ferruginea Borhidi,"('MXS',)",
1746,Bouvardia fragilis,Bouvardia fragilis Borhidi & Salas-Mor.,"('MXS',)",
1747,Bouvardia glabra,Bouvardia glabra Polák,"('ELS', 'GUA', 'HON', 'MXS', 'MXT')","('COS',)"
1748,Bouvardia gracilipes,Bouvardia gracilipes B.L.Rob.,"('MXS',)",
1749,Bouvardia hernan-maganae,Bouvardia hernan-maganae Borhidi & Serrano-Cárd.,"('MXE',)",
1750,Bouvardia hintoniorum,Bouvardia hintoniorum B.L.Turner,"('MXS',)",
1751,Bouvardia juarezana,Bouvardia juarezana Borhidi & Salas-Mor.,"('MXS',)",
1752,Bouvardia karwinskyi,Bouvardia karwinskyi Standl.,"('MXE',)",
1753,Bouvardia keniae,Bouvardia keniae Borhidi & Saynes,"('MXS',)",
1754,Bouvardia laevis,Bouvardia laevis M.Martens & Galeotti,"('COS', 'GUA', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'PAN')",
1755,Bouvardia lancifolia,Bouvardia lancifolia Borhidi & Salas-Mor.,"('MXS',)",
1756,Bouvardia langlassei,Bouvardia langlassei Standl.,"('MXC', 'MXS')",
1757,Bouvardia latifolia,Bouvardia latifolia Standl.,"('MXS',)",
1758,Bouvardia leiantha,Bouvardia leiantha Benth.,"('ELS', 'GUA', 'HON', 'MXS', 'MXT', 'NIC')",
1759,Bouvardia loeseneriana,Bouvardia loeseneriana Standl.,"('MXC', 'MXS', 'MXT')",
1760,Bouvardia longiflora,Bouvardia longiflora (Cav.) Kunth,"('MXC', 'MXE', 'MXG', 'MXS')",
1761,Bouvardia lottiae,Bouvardia lottiae Borhidi,"('MXS',)",
1762,Bouvardia mitlensis,Bouvardia mitlensis Borhidi & Salas-Mor.,"('MXS',)",
1763,Bouvardia multiflora,Bouvardia multiflora (Cav.) Schult. & Schult.f.,"('ELS', 'GUA', 'MXC', 'MXE', 'MXN', 'MXS', 'MXT', 'NIC')",
1764,Bouvardia oaxacana,Bouvardia oaxacana Standl.,"('MXS',)",
1765,Bouvardia obovata,Bouvardia obovata Kunth,"('MXC', 'MXS')",
1766,Bouvardia pallida,Bouvardia pallida Standl.,"('ELS', 'GUA')",
1767,Bouvardia pascualii,Bouvardia pascualii Borhidi,"('MXS',)",
1768,Bouvardia pedicellaris,Bouvardia pedicellaris Borhidi,"('MXS',)",
1769,Bouvardia perelegans,Bouvardia perelegans Borhidi,"('MXS',)",
1770,Bouvardia pulverulenta,Bouvardia pulverulenta Borhidi & Salas-Mor.,"('MXS',)",
1771,Bouvardia pungens,Bouvardia pungens Borhidi,"('MXE',)",
1772,Bouvardia quinquenervata,Bouvardia quinquenervata Standl.,"('MXS', 'MXT')",
1773,Bouvardia rekoi,Bouvardia rekoi Standl.,"('MXS',)",
1774,Bouvardia rosea,Bouvardia rosea Schltdl.,"('MXE', 'MXS')",
1775,Bouvardia rosei,Bouvardia rosei Standl.,"('MXE', 'MXN', 'MXS')",
1776,Bouvardia rzedowskii,Bouvardia rzedowskii Terrell & S.D.Koch,"('MXS',)",
1777,Bouvardia sancaroli,Bouvardia sancaroli Borhidi & M.Martínez,"('MXE',)",
1778,Bouvardia scabra,Bouvardia scabra Hook. & Arn.,"('MXE', 'MXS')",
1779,Bouvardia sinaloae,Bouvardia sinaloae Borhidi & E.Martínez,"('MXN',)",
1780,Bouvardia standleyana,Bouvardia standleyana W.H.Blackw.,"('MXS',)",
1781,Bouvardia stenosiphon,Bouvardia stenosiphon Borhidi & Salas-Mor.,"('MXS',)",
1782,Bouvardia subcordata,Bouvardia subcordata Standl.,"('MXE', 'MXN')",
1783,Bouvardia tenuifolia,Bouvardia tenuifolia Standl.,"('MXS',)",
1784,Bouvardia tenuis,Bouvardia tenuis Borhidi & Salas-Mor.,"('MXS',)",
1785,Bouvardia ternifolia,Bouvardia ternifolia (Cav.) Schltdl.,"('ARI', 'HON', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'NWM', 'TEX')",
1786,Bouvardia tubicalyx,Bouvardia tubicalyx Borhidi & Salas-Mor.,"('MXS',)",
1787,Bouvardia viminalis,Bouvardia viminalis Schltdl.,"('MXC', 'MXS')",
1788,Bouvardia xestosperma,Bouvardia xestosperma (B.L.Rob. & Greenm.) Terrell & S.D.Koch,"('MXS',)",
1789,Bouvardia xylosteoides,Bouvardia xylosteoides Hook. & Arn.,"('MXS',)",
1790,Brachytome hainanensis,Brachytome hainanensis C.Y.Wu ex W.C.Chen,"('CHH', 'VIE')",
1791,Brachytome hirtellata,Brachytome hirtellata Hu,"('CHC', 'CHT', 'VIE')",
1792,Brachytome kachinensis,Brachytome kachinensis Govaerts,"('MYA',)",
1793,Brachytome pitardii,Brachytome pitardii Tirveng.,"('VIE',)",
1794,Brachytome russellii,Brachytome russellii Deb & M.G.Gangop.,"('MYA',)",
1795,Brachytome scortechinii,Brachytome scortechinii King & Gamble,"('LAO', 'MLY', 'THA')",
1796,Brachytome wallichii,Brachytome wallichii Hook.f.,"('ASS', 'BAN', 'CBD', 'CHC', 'MYA', 'VIE')",
1797,Brachytome wardii,Brachytome wardii C.E.C.Fisch.,"('MYA',)",
1798,Bradea anomala,Bradea anomala Brade,"('BZL',)",
1799,Bradea bicornuta,Bradea bicornuta Brade,"('BZL',)",
1800,Bradea borrerioides,Bradea borrerioides J.A.Oliveira & Sobrado,"('BZL',)",
1801,Bradea brasiliensis,Bradea brasiliensis Standl.,"('BZL',)",
1802,Bradea kuhlmanni,Bradea kuhlmanni Brade,"('BZL',)",
1803,Bradea montana,Bradea montana Brade,"('BZL',)",
1804,Brargentina bornmuelleri,Brargentina bornmuelleri (Schltr. ex Malme) Morillo & H.A.Keller,"('AGE', 'BZS', 'PAR')",
1805,Bremeria arachnocarpa,Bremeria arachnocarpa (Wernham) A.P.Davis & Razafim.,"('MDG',)",
1806,Bremeria decaryi,Bremeria decaryi (Homolle) Razafim. & Alejandro,"('MDG',)",
1807,Bremeria erectiloba,Bremeria erectiloba (Wernham) Razafim. & Alejandro,"('MDG',)",
1808,Bremeria eriantha,Bremeria eriantha (A.Rich.) A.P.Davis & Razafim.,"('MDG',)",
1809,Bremeria fuscopilosa,Bremeria fuscopilosa (Baker) Razafim. & Alejandro,"('MDG',)",
1810,Bremeria humblotii,Bremeria humblotii (Wernham) Razafim. & Alejandro,"('MDG',)",
1811,Bremeria hymenopogonoides,Bremeria hymenopogonoides (Baker) Razafim. & Alejandro,"('MDG',)",
1812,Bremeria landia,Bremeria landia (Poir.) Razafim. & Alejandro,"('MAU', 'REU')",
1813,Bremeria latisepala,Bremeria latisepala (Homolle) Razafim. & Alejandro,"('MDG',)",
1814,Bremeria monantha,Bremeria monantha (Wernham) Razafim. & Alejandro,"('MDG',)",
1815,Bremeria perrieri,Bremeria perrieri (Homolle) Razafim. & Alejandro,"('MDG',)",
1816,Bremeria pervillei,Bremeria pervillei (Wernham) Razafim. & Alejandro,"('MDG',)",
1817,Bremeria pilosa,Bremeria pilosa (Baker) Razafim. & Alejandro,"('MDG',)",
1818,Bremeria punctata,Bremeria punctata (Drake) Razafim. & Alejandro,"('MDG',)",
1819,Bremeria scabrella,Bremeria scabrella (Wernham) A.P.Davis & Razafim.,"('MDG',)",
1820,Bremeria scabridior,Bremeria scabridior (Wernham) Razafim. & Alejandro,"('MDG',)",
1821,Bremeria trichophlebia,Bremeria trichophlebia (Baker) Razafim. & Alejandro,"('MDG',)",
1822,Bremeria vestita,Bremeria vestita (Baker) Razafim. & Alejandro,"('MDG',)",
1823,Brenania brieyi,Brenania brieyi (De Wild.) E.M.A.Petit,"('CAB', 'CAF', 'CMN', 'CON', 'GAB', 'NGA', 'ZAI')",
1824,Brenania rhomboideifolia,Brenania rhomboideifolia E.M.A.Petit,"('ZAI',)",
1825,Breonadia salicina,Breonadia salicina (Vahl) Hepper & J.R.I.Wood,"('ANG', 'BEN', 'BKN', 'CAF', 'CHA', 'CMN', 'ETH', 'GHA', 'IVO', 'KEN', 'MDG', 'MLI', 'MLW', 'MOZ', 'NGA', 'SAU', 'SUD', 'SWZ', 'TAN', 'TOG', 'TVL', 'YEM', 'ZAM', 'ZIM')",
1826,Breonia boivinii,Breonia boivinii Havil.,"('MDG',)",
1827,Breonia capuronii,Breonia capuronii Razafim.,"('MDG',)",
1828,Breonia chinensis,Breonia chinensis (Lam.) Capuron,"('MDG',)",
1829,Breonia cuspidata,Breonia cuspidata (Baker) Havil.,"('MDG',)",
1830,Breonia decaryana,Breonia decaryana Homolle,"('MDG',)",
1831,Breonia fragifera,Breonia fragifera Capuron ex Razafim.,"('MDG',)",
1832,Breonia havilandiana,Breonia havilandiana Homolle,"('MDG',)",
1833,Breonia louvelii,Breonia louvelii Homolle,"('MDG',)",
1834,Breonia lowryi,Breonia lowryi Razafim.,"('MDG',)",
1835,Breonia macrocarpa,Breonia macrocarpa Homolle,"('MDG',)",
1836,Breonia madagascariensis,Breonia madagascariensis A.Rich. ex DC.,"('MDG',)",
1837,Breonia membranacea,Breonia membranacea Havil.,"('MDG',)",
1838,Breonia perrieri,Breonia perrieri Homolle,"('MDG',)",
1839,Breonia richardsonii,Breonia richardsonii Razafim.,"('MDG',)",
1840,Breonia sambiranensis,Breonia sambiranensis Razafim.,"('MDG',)",
1841,Breonia sphaerantha,Breonia sphaerantha (Baill.) Homolle ex Ridsdale,"('MDG',)",
1842,Breonia stipulata,Breonia stipulata Havil.,"('MDG',)",
1843,Breonia taolagnaroensis,Breonia taolagnaroensis Razafim.,"('MDG',)",
1844,Breonia tayloriana,Breonia tayloriana Razafim.,"('MDG',)",
1845,Breonia tsaratananensis,Breonia tsaratananensis Razafim.,"('MDG',)",
1846,Bridsonia chamaedendrum,Bridsonia chamaedendrum (Kuntze) Verstraete & A.E.van Wyk,"('CPP', 'NAT', 'OFS', 'SWZ', 'TVL')",
1847,Bruceholstia sidifolia,Bruceholstia sidifolia (M.Martens & Galeotti) L.O.Alvarado,"('BLZ', 'COS', 'ELS', 'GUA', 'HON', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN')",
1848,Buchozia japonica,Buchozia japonica (Thunb.) Callm.,"('CHC', 'CHS', 'TAI')","('ASS', 'CBD', 'IND', 'JAP', 'JAW', 'KOR', 'MDG', 'MLY', 'NNS', 'SRL', 'THA', 'VIE')"
1849,Buckollia tomentosa,Buckollia tomentosa (E.A.Bruce) Venter & R.L.Verh.,"('ETH', 'SUD', 'UGA')",
1850,Buckollia volubilis,Buckollia volubilis (Schltr.) Venter & R.L.Verh.,"('ETH', 'KEN', 'SOM', 'TAN', 'UGA')",
1851,Bullockia dyscritos,"Bullockia dyscritos (Bullock) Razafim., Lantz & B.Bremer","('KEN', 'TAN')",
1852,Bullockia fadenii,"Bullockia fadenii (Bridson) Razafim., Lantz & B.Bremer","('KEN',)",
1853,Bullockia impressinervia,"Bullockia impressinervia (Bridson) Razafim., Lantz & B.Bremer","('TAN',)",
1854,Bullockia mombazensis,"Bullockia mombazensis (Baill.) Razafim., Lantz & B.Bremer","('KEN', 'MOZ', 'SOM', 'TAN')",
1855,Bullockia pseudosetiflora,"Bullockia pseudosetiflora (Bridson) Razafim., Lantz & B.Bremer","('ETH', 'KEN', 'TAN', 'UGA')",
1856,Bullockia setiflora,"Bullockia setiflora (Hiern) Razafim., Lantz & B.Bremer","('KEN', 'MLW', 'MOZ', 'NAT', 'SWZ', 'TAN', 'TVL', 'ZIM')",
1857,Bungarimba kahayanensis,Bungarimba kahayanensis K.M.Wong,"('BOR',)",
1858,Bungarimba papuana,Bungarimba papuana K.M.Wong,"('NWG',)",
1859,Bungarimba ridsdalei,Bungarimba ridsdalei K.M.Wong,"('BOR',)",
1860,Bungarimba sessiliflora,Bungarimba sessiliflora (Ridl.) K.M.Wong,"('BOR', 'MLY', 'SUM')",
1861,Burchellia bubalina,Burchellia bubalina (L.f.) Sims,"('CPP', 'NAT', 'SWZ', 'TVL')",
1862,Byrsophyllum ellipticum,Byrsophyllum ellipticum (Thwaites) Bedd.,"('SRL',)",
1863,Byrsophyllum tetrandrum,Byrsophyllum tetrandrum (Bedd.) Bedd.,"('IND',)",
1864,Caa balansae,Caa balansae (Morillo & Fontella) H.A.Keller & Liede,"('AGE', 'PAR')",
1865,Calciphila galgalensis,Calciphila galgalensis (Liede) Liede & Meve,"('SOM',)",
1866,Calciphila gillettii,Calciphila gillettii Liede & Meve,"('SOM',)",
1867,Callichilia barteri,Callichilia barteri (Hook.f.) Stapf,"('BEN', 'CMN', 'CON', 'NGA', 'TOG', 'ZAI')",
1868,Callichilia basileis,Callichilia basileis Beentje,"('CMN', 'NGA')",
1869,Callichilia bequaertii,Callichilia bequaertii De Wild.,"('CAB', 'CMN', 'CON', 'EQG', 'GAB', 'NGA', 'ZAI')",
1870,Callichilia inaequalis,Callichilia inaequalis Stapf,"('CMN', 'GAB', 'NGA')",
1871,Callichilia monopodialis,Callichilia monopodialis (K.Schum.) Stapf,"('CMN', 'CON')",
1872,Callichilia subsessilis,Callichilia subsessilis (Benth.) Stapf,"('CON', 'GHA', 'GUI', 'IVO', 'LBR', 'NGA', 'SIE')",
1873,Callipeltis cucullaris,Callipeltis cucullaris (L.) DC.,"('AFG', 'ALG', 'EGY', 'GST', 'IRN', 'IRQ', 'KAZ', 'KGZ', 'LBS', 'LBY', 'MOR', 'OMA', 'PAK', 'PAL', 'SAU', 'SIN', 'SPA', 'TCS', 'TKM', 'TUN', 'TUR', 'TZK', 'UZB')",
1874,Callipeltis factorovskyi,Callipeltis factorovskyi (Eig) Ehrend.,"('IRQ', 'LBS', 'PAL')",
